"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"86.0","interacts with","Amazon WRO2 (interacts with) Aleja Bielany","false","interacts with","Amazon WRO2 (interacts with) Aleja Bielany"
"168.0","interacts with","Aleja Bielany (interacts with) Centrum Handlowe Auchan Bielany","false","interacts with","Aleja Bielany (interacts with) Centrum Handlowe Auchan Bielany"
"246.0","interacts with","Centrum Handlowe Auchan Bielany (interacts with) Czekoladowa / Wałbrzyska","false","interacts with","Centrum Handlowe Auchan Bielany (interacts with) Czekoladowa / Wałbrzyska"
"145.63333333333333","interacts with","Czekoladowa / Wałbrzyska (interacts with) Solskiego / al. Piastów","false","interacts with","Czekoladowa / Wałbrzyska (interacts with) Solskiego / al. Piastów"
"186.69999999999996","interacts with","Solskiego / al. Piastów (interacts with) Oporów (pętla tramwajowa)","false","interacts with","Solskiego / al. Piastów (interacts with) Oporów (pętla tramwajowa)"
"236.69999999999996","interacts with","Oporów (pętla tramwajowa) (interacts with) Grabiszyńska / Aleja Hallera","false","interacts with","Oporów (pętla tramwajowa) (interacts with) Grabiszyńska / Aleja Hallera"
"84.0","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Klecińska (Wrocław Grabiszyn)","false","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Klecińska (Wrocław Grabiszyn)"
"84.0","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Ostrowskiego","false","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Ostrowskiego"
"2.0","interacts with","Ostrowskiego (interacts with) Klecińska (Wrocław Grabiszyn)","false","interacts with","Ostrowskiego (interacts with) Klecińska (Wrocław Grabiszyn)"
"383.7","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Hallera / Odkrywców","false","interacts with","Grabiszyńska / Aleja Hallera (interacts with) Hallera / Odkrywców"
"428.70000000000005","interacts with","Hallera / Odkrywców (interacts with) Aleja Hallera / Mielecka","false","interacts with","Hallera / Odkrywców (interacts with) Aleja Hallera / Mielecka"
"71.06666666666668","interacts with","Aleja Hallera / Mielecka (interacts with) Gajowicka","false","interacts with","Aleja Hallera / Mielecka (interacts with) Gajowicka"
"104.0","interacts with","Gajowicka (interacts with) Powstańców Śląskich / Aleja Hallera","false","interacts with","Gajowicka (interacts with) Powstańców Śląskich / Aleja Hallera"
"402.63333333333327","interacts with","Powstańców Śląskich / Aleja Hallera (interacts with) Aleja Hallera / Mielecka","false","interacts with","Powstańców Śląskich / Aleja Hallera (interacts with) Aleja Hallera / Mielecka"
"100.16666666666664","interacts with","Gajowicka (interacts with) Racławicka / Rymarska","false","interacts with","Gajowicka (interacts with) Racławicka / Rymarska"
"56.16666666666667","interacts with","Racławicka / Rymarska (interacts with) Skarbowców / Wietrzna","false","interacts with","Racławicka / Rymarska (interacts with) Skarbowców / Wietrzna"
"46.0","interacts with","Skarbowców / Wietrzna (interacts with) Krzycka / Aleja Karkonoska (Park Południowy)","false","interacts with","Skarbowców / Wietrzna (interacts with) Krzycka / Aleja Karkonoska (Park Południowy)"
"42.166666666666664","interacts with","Skarbowców / Wietrzna (interacts with) Przyjaźni / Karkonoska","false","interacts with","Skarbowców / Wietrzna (interacts with) Przyjaźni / Karkonoska"
"342.29999999999995","interacts with","Przyjaźni / Karkonoska (interacts with) Przyjaźni","false","interacts with","Przyjaźni / Karkonoska (interacts with) Przyjaźni"
"297.29999999999995","interacts with","Przyjaźni (interacts with) Wałbrzyska - pętla tramwajowa","false","interacts with","Przyjaźni (interacts with) Wałbrzyska - pętla tramwajowa"
"252.29999999999998","interacts with","Wałbrzyska - pętla tramwajowa (interacts with) Czekoladowa / Wałbrzyska","false","interacts with","Wałbrzyska - pętla tramwajowa (interacts with) Czekoladowa / Wałbrzyska"
"351.13333333333327","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Przyjaźni / Karkonoska","false","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Przyjaźni / Karkonoska"
"303.73333333333335","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Powstańców Śląskich / Orla","false","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Powstańców Śląskich / Orla"
"43.56666666666666","interacts with","Powstańców Śląskich / Orla (interacts with) Gajowicka","false","interacts with","Powstańców Śląskich / Orla (interacts with) Gajowicka"
"178.9","interacts with","Powstańców Śląskich / Orla (interacts with) Powstańców Śląskich / Aleja Hallera","false","interacts with","Powstańców Śląskich / Orla (interacts with) Powstańców Śląskich / Aleja Hallera"
"152.73333333333332","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Ślężna / pętla tramwajowa","false","interacts with","Krzycka / Aleja Karkonoska (Park Południowy) (interacts with) Ślężna / pętla tramwajowa"
"179.39999999999998","interacts with","Ślężna / pętla tramwajowa (interacts with) Ślężna / Skierniewicka","false","interacts with","Ślężna / pętla tramwajowa (interacts with) Ślężna / Skierniewicka"
"168.2","interacts with","Ślężna / Skierniewicka (interacts with) Powstańców Śląskich / Orla","false","interacts with","Ślężna / Skierniewicka (interacts with) Powstańców Śląskich / Orla"
"345.7333333333334","interacts with","Ślężna / Skierniewicka (interacts with) Ślężna / Aleja Wiśniowa","false","interacts with","Ślężna / Skierniewicka (interacts with) Ślężna / Aleja Wiśniowa"
"639.0666666666666","interacts with","Ślężna / Aleja Wiśniowa (interacts with) Powstańców Śląskich / Aleja Hallera","false","interacts with","Ślężna / Aleja Wiśniowa (interacts with) Powstańców Śląskich / Aleja Hallera"
"86.0","interacts with","al. Karkonoska / Jeździecka (interacts with) Zwycięska / Ołtaszyńska","false","interacts with","al. Karkonoska / Jeździecka (interacts with) Zwycięska / Ołtaszyńska"
"168.0","interacts with","Zwycięska / Ołtaszyńska (interacts with) Zwycięska / Agrestowa","false","interacts with","Zwycięska / Ołtaszyńska (interacts with) Zwycięska / Agrestowa"
"246.0","interacts with","Zwycięska / Agrestowa (interacts with) Kutrzeby / Hubala","false","interacts with","Zwycięska / Agrestowa (interacts with) Kutrzeby / Hubala"
"8.0","interacts with","Kutrzeby / Hubala (interacts with) Grota-Roweckiego / Iwaszkiewicza","false","interacts with","Kutrzeby / Hubala (interacts with) Grota-Roweckiego / Iwaszkiewicza"
"78.0","interacts with","Grota-Roweckiego / Iwaszkiewicza (interacts with) Grota-Roweckiego / Parafialna","false","interacts with","Grota-Roweckiego / Iwaszkiewicza (interacts with) Grota-Roweckiego / Parafialna"
"312.0","interacts with","Grota-Roweckiego / Parafialna (interacts with) Kutrzeby / Hubala","false","interacts with","Grota-Roweckiego / Parafialna (interacts with) Kutrzeby / Hubala"
"456.0","interacts with","Grota-Roweckiego / Parafialna (interacts with) Borowska (Uniw. Szpital Kliniczny)","false","interacts with","Grota-Roweckiego / Parafialna (interacts with) Borowska (Uniw. Szpital Kliniczny)"
"222.0","interacts with","Borowska (Uniw. Szpital Kliniczny) (interacts with) Świeradowska / Ferio Gaj","false","interacts with","Borowska (Uniw. Szpital Kliniczny) (interacts with) Świeradowska / Ferio Gaj"
"142.0","interacts with","Świeradowska / Ferio Gaj (interacts with) Świeradowska / Krynicka","false","interacts with","Świeradowska / Ferio Gaj (interacts with) Świeradowska / Krynicka"
"86.0","interacts with","Świeradowska / Ferio Gaj (interacts with) Piławska","false","interacts with","Świeradowska / Ferio Gaj (interacts with) Piławska"
"456.0","interacts with","Świeradowska / Krynicka (interacts with) Bardzka (cmentarz)","false","interacts with","Świeradowska / Krynicka (interacts with) Bardzka (cmentarz)"
"390.0","interacts with","Bardzka (cmentarz) (interacts with) Konduktorska","false","interacts with","Bardzka (cmentarz) (interacts with) Konduktorska"
"320.0","interacts with","Konduktorska (interacts with) Grapowa","false","interacts with","Konduktorska (interacts with) Grapowa"
"246.0","interacts with","Grapowa (interacts with) Jagodzińska / Buforowa","false","interacts with","Grapowa (interacts with) Jagodzińska / Buforowa"
"86.0","interacts with","Jagodzińska / Buforowa (interacts with) Kopycińskiego / Drabika","false","interacts with","Jagodzińska / Buforowa (interacts with) Kopycińskiego / Drabika"
"966.0","interacts with","al. Armii Krajowej / Borowska (interacts with) Ślężna / Aleja Wiśniowa","false","interacts with","al. Armii Krajowej / Borowska (interacts with) Ślężna / Aleja Wiśniowa"
"488.0","interacts with","al. Armii Krajowej / Borowska (interacts with) Borowska (Uniw. Szpital Kliniczny)","false","interacts with","al. Armii Krajowej / Borowska (interacts with) Borowska (Uniw. Szpital Kliniczny)"
"584.0","interacts with","al. Armii Krajowej / Borowska (interacts with) al. Armii Krajowej / Bardzka","false","interacts with","al. Armii Krajowej / Borowska (interacts with) al. Armii Krajowej / Bardzka"
"408.0","interacts with","al. Armii Krajowej / Bardzka (interacts with) Świeradowska / Krynicka","false","interacts with","al. Armii Krajowej / Bardzka (interacts with) Świeradowska / Krynicka"
"246.0","interacts with","al. Armii Krajowej / Bardzka (interacts with) al. Armii Krajowej / Tarnogajska","false","interacts with","al. Armii Krajowej / Bardzka (interacts with) al. Armii Krajowej / Tarnogajska"
"168.0","interacts with","al. Armii Krajowej / Tarnogajska (interacts with) Tarnogajska / Klimasa","false","interacts with","al. Armii Krajowej / Tarnogajska (interacts with) Tarnogajska / Klimasa"
"86.0","interacts with","Tarnogajska / Klimasa (interacts with) Gazowa / Międzyleska","false","interacts with","Tarnogajska / Klimasa (interacts with) Gazowa / Międzyleska"
"86.0","interacts with","Jagodzińska / Buforowa (interacts with) Buforowa - Vivaldiego","false","interacts with","Jagodzińska / Buforowa (interacts with) Buforowa - Vivaldiego"
